1,582252790-6,15,15,14,Matthew's Days,695,1695.23,2002
2,277125187-6,17,5,14,"Captain Newman, M.D.",1558,1567.45,2004
3,013166997-4,18,2,6,Joseph and the Amazing Technicolor Dreamcoat,974,735.88,2012
4,304519880-5,16,20,11,Beautiful Kate,685,110.11,1996
5,692916630-8,20,14,10,Tales from the Golden Age (Amintiri din epoca de aur),607,327.99,2011
6,279870706-4,9,11,1,"Crawling Eye, The (a.k.a. Trollenberg Terror, The)",1127,515.65,2003
7,065687432-5,13,5,13,Will Penny,785,1057.61,2016
8,889127885-8,16,14,6,"Legend of Suram Fortress, The (Ambavi Suramis tsikhitsa) ",1367,497.7,2012
9,231623673-1,18,8,9,Across 110th Street,416,1667.91,1996
10,896386384-0,6,10,17,Gold,1556,1019.01,1997
11,685199312-0,18,6,18,Talk of Angels,943,825.85,1999
12,757232746-X,5,4,9,Battle of Los Angeles,1183,1349.11,2001
13,157343499-X,18,1,2,20 Seconds of Joy,839,774.33,2001
14,451328916-3,15,9,13,One Kill,1098,1026.1,2002
15,856577261-6,2,4,16,"Town That Dreaded Sundown, The",626,1230.75,2010
16,194247803-8,14,3,18,Iria: Zeiram the Animation ,447,1584.66,2013
17,132221775-0,18,15,3,Always Outnumbered,1391,1696.92,2014
18,181789882-5,12,12,6,Sherlock Holmes and the Masks of Death,624,622.15,2015
19,523070116-1,8,8,11,Den enskilde medborgaren,247,1422.09,2013
20,092630436-4,18,1,4,"Horse in the Gray Flannel Suit, The",614,1018.02,1998
